idx,Option,Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
11,True,2016-02-10,2016-02-09,TMHC,Taylor Morrison Home Corp,Cone C. David,"VP, CFO",P - Purchase,11.65,2200.0,7800.0,39.0,24889.0,13.45,13.82,14.17,14.5,14.98,14.91,16.22,17.77,17.41,17.09,19.64,19.55,19.05,24.47,15.45,18.63,21.63,24.46,28.58,27.98,39.23,52.53,49.44,46.7,68.58,67.81,63.52,110.04,True,True,True,YF,NYSE
13,False,2016-02-10,2016-02-09,CUB,Cubic Corp ,Thomas John D,"EVP, CFO",P - Purchase,30.995414,2000.0,17747.0,13.0,62921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
12,False,2016-02-10,2016-02-08,SPA,Sparton Corp,McCormack Joseph G.,"SVP, CFO",P - Purchase,13.61,2000.0,2000.0,New,23392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
15,False,2016-02-09,2016-02-08,BGNE,"Beigene, Ltd.",Liang Howard,"CFO, Chief Strategy Officer",P - Purchase,30.86,65000.0,65000.0,New,120250.0,27.0,31.35,28.7,27.54,27.47,29.66,26.0,29.14,31.43,33.46,31.21,30.63,36.0,137.2,-12.51,1.59,-7.0,-10.76,-10.99,-3.89,-15.75,-5.57,1.85,8.43,1.13,-0.75,16.66,344.59,True,True,True,YF,NASDAQ
16,False,2016-02-09,2016-02-05,BZH,Beazer Homes USA Inc,Salomon Robert L.,"EVP, CFO",P - Purchase,6.21,9500.0,155736.0,6.0,64748.0,6.75,8.19,8.57,8.28,7.89,7.97,9.6,11.49,11.12,10.09,13.45,13.4,14.02,18.23,8.7,31.88,38.0,33.33,27.05,28.34,54.59,85.02,79.07,62.48,116.59,115.78,125.76,193.56,True,True,True,YF,NYSE
17,False,2016-02-09,2016-02-09,BOTA,"Biota Pharmaceuticals, Inc.",Colonnese Mark P,CFO,P - Purchase,1.43,7000.0,7000.0,New,9847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
19,False,2016-02-08,2016-02-08,SPA,Sparton Corp,McCormack Joseph G.,"SVP, CFO",P - Purchase,12.0,2000.0,2000.0,New,23392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
18,False,2016-02-08,2016-02-05,WRK,Westrock Co,Dickson Ward H.,"EVP, CFO",P - Purchase,24.458,3000.0,66793.0,5.0,102032.0,23.48,24.25,28.81,30.0,32.84,33.82,35.34,37.72,40.51,39.33,40.55,43.77,44.45,56.34,-4.0,-0.85,17.79,22.66,34.27,38.28,44.49,54.22,65.63,60.81,65.79,78.96,81.74,130.35,True,True,True,YF,NYSE
21,False,2016-02-08,2016-02-05,TSO,Tesoro Corp ,Sterin Steven,"EVP, CFO",P - Purchase,71.493504,1282.0,5792.0,28.0,100211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
20,False,2016-02-08,2016-02-05,LCI,Lannett Co Inc,Galvan Martin P,"VP of Finance, CFO",P - Purchase,24.24,3000.0,38397.0,8.0,73950.0,25.73,24.74,17.8,19.23,23.91,24.94,31.17,32.02,24.5,21.75,24.35,22.1,20.0,20.4,6.15,2.06,-26.57,-20.67,-1.36,2.89,28.59,32.1,1.07,-10.27,0.45,-8.83,-17.49,-15.84,False,True,True,YF,
23,False,2016-02-08,2016-02-05,TLLP,Tesoro Logistics LP,Sterin Steven,"VP, CFO",P - Purchase,38.784151,2214.0,2214.0,New,98186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
22,True,2016-02-08,2016-02-05,UNTY,Unity Bancorp Inc ,Bedner Alan J,"EVP, CFO",P - Purchase,8.724,1950.0,11237.0,21.0,20183.0,8.48,9.21,8.96,9.57,9.79,10.58,10.55,10.58,11.47,11.65,11.41,13.07,14.6,18.91,-2.8,5.57,2.71,9.7,12.22,21.27,20.93,21.27,31.48,33.54,30.79,49.82,67.35,116.76,True,True,True,YF,NASDAQ
24,False,2016-02-05,2016-02-04,BID,Sothebys,Weibling Dennis M,Interim CFO,P - Purchase,24.06,4000.0,71000.0,6.0,96138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
25,False,2016-02-04,2016-02-04,UBOH,United Bancshares Inc,Eramo Anthony M V,CFO,P - Purchase,14.262,214.0,2386.0,10.0,3559.0,14.0,,16.08,16.06,15.62,16.59,15.75,17.16,16.92,16.68,16.81,18.48,18.92,20.03,-1.84,,12.75,12.61,9.52,16.32,10.43,20.32,18.64,16.95,17.87,29.58,32.66,40.44,True,True,True,YF,NASDAQ
26,False,2016-02-04,2016-02-03,RDN,Radian Group Inc,Hall J Franklin,EVP - CFO,P - Purchase,9.639,5000.0,10000.0,100.0,49482.0,10.61,10.28,11.83,11.54,11.12,10.6,10.41,12.44,12.73,12.64,12.66,13.64,17.0,20.39,10.07,6.65,22.73,19.72,15.36,9.97,8.0,29.06,32.07,31.13,31.34,41.51,76.37,111.54,True,True,True,YF,NYSE
29,False,2016-02-03,2016-02-01,USAP,Universal Stainless & Alloy Products Inc,Wilkin Ross C,CFO,P - Purchase,7.43,1464.0,2464.0,146.0,9999.0,8.17,7.61,9.4,10.9,11.22,10.97,10.92,10.72,10.31,10.94,12.37,14.57,16.94,25.25,9.96,2.42,26.51,46.7,51.01,47.64,46.97,44.28,38.76,47.24,66.49,96.1,127.99,239.84,True,True,True,YF,NASDAQ
27,False,2016-02-03,2016-02-02,BID,Sothebys,Weibling Dennis M,Interim CFO,P - Purchase,23.19,4000.0,67000.0,6.0,92355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
28,False,2016-02-03,2016-02-02,GNBC,"Green Bancorp, Inc.",Durie John P.,"Senior EVP, CFO",P - Purchase,6.904,3000.0,58030.0,5.0,20846.0,7.2,7.04,7.52,8.12,8.09,8.26,9.48,10.02,11.55,10.8,12.48,14.89,16.77,21.7,4.29,1.97,8.92,17.61,17.18,19.64,37.31,45.13,67.29,56.43,80.76,115.67,142.9,214.31,False,True,True,YF,
30,False,2016-02-02,2016-02-01,HLTH,Nobilis Health Corp.,Klein Kenneth Joseph,CFO,P - Purchase,16.76,5000.0,5000.0,New,10800.0,11.09,10.67,11.47,10.52,11.24,11.69,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.83,-36.34,-31.56,-37.23,-32.94,-30.25,-50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
31,False,2016-02-02,2016-02-02,TLMR,"Talmer Bancorp, Inc.",Klaeser Dennis L,CFO,P - Purchase,15.909444,64800.0,153350.0,73.0,1047168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
35,False,2016-02-01,2016-02-01,HBAN,Huntington Bancshares Inc,McCullough Howell D. III,"CFO, Sr EVP",P - Purchase,6.812,25000.0,260045.0,11.0,215120.0,6.84,7.06,7.74,7.9,7.78,,7.13,7.66,7.95,8.0,8.45,10.61,11.01,12.36,0.41,3.64,13.62,15.97,14.21,,4.67,12.45,16.71,17.44,24.05,55.75,61.63,81.44,True,True,True,YF,NASDAQ
33,False,2016-02-01,2016-02-01,BWFG,"Bankwell Financial Group, Inc.",Verrico Ernest J Sr,"EVP, CFO",P - Purchase,17.487,2000.0,40000.0,5.0,38998.0,,17.34,17.5,17.98,,19.05,20.27,,20.77,21.24,21.67,24.71,29.32,32.24,,-0.84,0.07,2.82,,8.94,15.91,,18.77,21.46,23.92,41.3,67.67,84.37,True,True,True,YF,NASDAQ
32,False,2016-02-01,2016-01-29,BID,Sothebys,Weibling Dennis M,Interim CFO,P - Purchase,23.28,4000.0,63000.0,7.0,92182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
34,True,2016-02-01,2016-01-29,UBNK,"United Financial Bancorp, Inc.",Newell Eric R,"EVP, CFO, Treasurer",P - Purchase,9.918631,2000.0,43255.0,5.0,22297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
36,False,2016-01-29,2016-01-28,HBHC,Hancock Holding Co,Achary Michael M,CFO,P - Purchase,22.189616,1345.0,29050.0,5.0,31763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
37,False,2016-01-29,2016-01-28,ABTX,"Allegiance Bancshares, Inc.",Lehman Laurence L III,"EVP, CFO",P - Purchase,17.49,1000.0,1000.0,New,17801.0,18.46,17.0,17.98,19.49,20.61,24.0,24.3,25.19,26.64,26.33,30.02,34.2,32.79,38.24,5.55,-2.8,2.8,11.44,17.84,37.22,38.94,44.03,52.32,50.54,71.64,95.54,87.48,118.64,True,True,True,YF,NASDAQ
38,False,2016-01-28,2016-01-27,BID,Sothebys,Weibling Dennis M,Interim CFO,P - Purchase,23.24,4000.0,59000.0,7.0,91989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
39,False,2016-01-28,2016-01-27,RPRX,Repros Therapeutics Inc.,Anderson Katherine,CFO,P - Purchase,42.768,12000.0,23875.0,101.0,12960.0,48.48,45.88,42.63,38.69,41.29,41.82,40.35,48.97,47.61,47.19,41.85,43.25,39.93,0.0,13.36,7.28,-0.32,-9.54,-3.46,-2.22,-5.65,14.5,11.32,10.34,-2.15,1.13,-6.64,0.0,False,True,True,YF,
40,False,2016-01-28,2016-01-27,BOCH,Bank of Commerce Holdings,Sundquist James A,"EVP, CFO",P - Purchase,5.252862,10000.0,63367.0,19.0,57500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
43,False,2016-01-27,2016-01-26,MTG,Mgic Investment Corp,Mattke Timothy J.,"Exec Vice Preident, CFO",P - Purchase,5.6,20000.0,434868.0,5.0,118550.0,6.07,6.39,7.47,7.21,6.11,5.84,6.03,7.39,7.52,7.64,8.49,9.67,9.89,14.76,8.39,14.11,33.39,28.75,9.11,4.29,7.68,31.96,34.29,36.43,51.61,72.68,76.61,163.57,True,True,True,YF,NYSE
41,False,2016-01-27,2016-01-25,HH,Hooper Holmes Inc,Balthazor Steven R,CFO,P - Purchase,1.8465,56967.0,106967.0,114.0,5127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
42,True,2016-01-27,2016-01-27,LKFN,Lakeland Financial Corp,O'Neill Lisa M,"EVP, CFO",P - Purchase,23.35,500.0,3500.0,17.0,19960.0,23.88,24.8,26.77,26.52,27.74,28.41,27.3,31.28,31.21,31.09,32.47,38.76,42.91,44.67,2.27,6.21,14.65,13.58,18.8,21.67,16.92,33.96,33.66,33.15,39.06,66.0,83.77,91.31,True,True,True,YF,NASDAQ
45,False,2016-01-26,2016-01-26,LM,"Legg Mason, Inc.",Nachtwey Peter,"EVP, CFO",P - Purchase,25.261313,20000.0,109215.0,22.0,598400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,YF,
44,True,2016-01-26,2016-01-25,TCBIO,Texas Capital Bancshares Inc,Bartholow Peter B,"CFO, COO",P - Purchase,23.76,4000.0,34584.0,13.0,131200.0,24.17,24.62,24.6,25.12,26.81,27.1,,25.75,25.82,25.28,26.65,25.5,24.38,0.0,1.73,3.62,3.54,5.72,12.84,14.06,,8.38,8.67,6.4,12.16,7.32,2.61,0.0,True,True,True,YF,NASDAQ
46,False,2016-01-25,2016-01-21,MU,Micron Technology Inc,Maddock Ernest E,"CFO, VP, Finance",P - Purchase,11.033,10000.0,123256.0,9.0,106944.0,10.68,11.34,11.11,10.6,9.59,12.48,13.22,16.11,17.95,16.98,19.34,20.38,21.91,42.37,-3.2,2.78,0.7,-3.92,-13.08,13.12,19.82,46.02,62.69,53.9,75.29,84.72,98.59,284.03,True,True,True,YF,NASDAQ
47,False,2016-01-22,2016-01-21,SIAF,"Sino Agro Food, Inc.",Tiusanen Pertti Aarre Einari,CFO,P - Purchase,8.9,2500.0,5000.0,100.0,22850.0,9.25,7.79,8.55,6.52,5.75,6.75,5.55,5.31,4.99,4.63,3.66,4.37,3.61,0.99,3.93,-12.47,-3.93,-26.74,-35.39,-24.16,-37.64,-40.34,-43.93,-47.98,-58.88,-50.9,-59.44,-88.88,False,True,True,YF,
48,False,2016-01-22,2016-01-20,IGXT,Intelgenx Technologies Corp.,Godin Andre,EVP + CFO,P - Purchase,0.45,20000.0,64500.0,45.0,8000.0,0.49,0.49,0.59,0.56,0.54,0.51,0.48,0.64,0.79,0.72,0.68,0.69,0.84,0.77,8.89,8.89,31.11,24.44,20.0,13.33,6.67,42.22,75.56,60.0,51.11,53.33,86.67,71.11,False,True,True,YF,
49,False,2016-01-21,2016-01-20,SUME,Summer Energy Holdings Inc,George Jaleea Pyle,"CFO, Secretary",P - Purchase,0.0,3000.0,15340.0,24.0,3450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
50,False,2016-01-20,2016-01-19,SIAF,"Sino Agro Food, Inc.",Tiusanen Pertti Aarre Einari,CFO,P - Purchase,9.06,2500.0,2500.0,New,25250.0,9.25,7.79,8.55,6.52,5.75,6.75,5.55,5.31,4.99,4.63,3.66,4.37,3.61,0.99,2.1,-14.02,-5.63,-28.04,-36.53,-25.5,-38.74,-41.39,-44.92,-48.9,-59.6,-51.77,-60.15,-89.07,False,True,True,YF,
52,False,2016-01-19,2016-01-15,LAYN,Layne Christensen Co,Anderson J Michael,"CFO, SVP",P - Purchase,5.35,2000.0,6000.0,50.0,10260.0,5.08,5.22,6.5,7.14,8.93,7.9,8.54,9.35,8.04,8.44,10.35,10.59,10.54,13.41,-5.05,-2.43,21.5,33.46,66.92,47.66,59.63,74.77,50.28,57.76,93.46,97.94,97.01,150.65,False,True,True,YF,
54,False,2016-01-19,2016-01-15,OCRX,"Ocera Therapeutics, Inc.",Byrnes Michael,"CFO, Treasurer",P - Purchase,2.07,3500.0,10000.0,54.0,7245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
53,True,2016-01-19,2016-01-08,MDCRE,Medicus Homecare Inc.,Nowek Leon,CFO,P - Purchase,0.0,650000.0,650000.0,New,530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
55,True,2016-01-15,2016-01-12,DTOR,Del Toro Silver Corp.,Fagen Patrick,CFO,P - Purchase,0.0,500000.0,9207727.0,6.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
56,False,2016-01-14,2016-01-12,OFG,Ofg Bancorp,Kumar Ganesh,"CFO, EVP",P - Purchase,5.539,3734.0,18730.0,25.0,22553.0,4.83,4.73,6.05,,7.6,8.02,7.31,9.27,9.87,9.15,8.82,11.42,12.15,8.25,-12.8,-14.61,9.23,,37.21,44.79,31.97,67.36,78.19,65.19,59.23,106.17,119.35,48.94,True,True,True,YF,NYSE
57,False,2016-01-14,2016-01-14,ASNA,"Ascena Retail Group, Inc.",Giammatteo Robert,"EVP, CFO",P - Purchase,169.2,5000.0,6678.0,298.0,41060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
58,False,2016-01-13,2016-01-11,STRM,Streamline Health Solutions Inc.,Meeks Nicholas,CFO,P - Purchase,1.81,6000.0,21190.0,39.0,8756.0,1.6,1.59,1.33,1.44,1.47,1.22,1.21,1.5,1.66,1.83,1.81,1.65,1.32,1.81,-11.6,-12.15,-26.52,-20.44,-18.78,-32.6,-33.15,-17.13,-8.29,1.1,0.0,-8.84,-27.07,0.0,True,True,True,YF,NASDAQ
59,False,2016-01-13,2016-01-13,BV,Bazaarvoice Inc,Offerdahl James,CFO,P - Purchase,21.25,10000.0,207337.0,5.0,37753.0,22.01,22.56,18.1,18.59,13.68,13.09,11.0,14.23,13.75,14.49,15.62,16.65,18.81,11.43,3.58,6.16,-14.82,-12.52,-35.62,-38.4,-48.24,-33.04,-35.29,-31.81,-26.49,-21.65,-11.48,-46.21,False,True,True,YF,
60,False,2016-01-11,2016-01-08,AGX,Argan Inc,Watson David Hibbert,"SVP, CFO",P - Purchase,25.328,350.0,1350.0,35.0,10213.0,24.71,24.64,27.78,29.6,29.0,28.92,34.8,39.67,46.76,49.96,47.97,56.95,61.8,39.72,-2.44,-2.72,9.68,16.87,14.5,14.18,37.4,56.63,84.62,97.25,89.4,124.85,144.0,56.82,True,True,True,YF,NYSE
64,False,2016-01-08,2016-01-08,LPTH,Lightpath Technologies Inc,Cipolla Dorothy M,CFO,P - Purchase,3.17,512.0,512.0,New,1306.0,3.35,2.88,2.3,1.98,1.87,1.83,1.73,1.84,1.87,1.73,1.65,1.49,1.54,2.27,5.68,-9.15,-27.44,-37.54,-41.01,-42.27,-45.43,-41.96,-41.01,-45.43,-47.95,-53.0,-51.42,-28.39,True,True,True,YF,NASDAQ
63,False,2016-01-08,2015-12-17,SCX,Starrett L S Co,O'Brien Francis J,"Treaqsure, CFO",P - Purchase,8.484,500.0,2333.0,27.0,4875.0,8.6,8.83,8.76,9.83,9.32,11.66,11.98,11.56,10.12,,9.41,9.18,,8.01,1.37,4.08,3.25,15.87,9.85,37.44,41.21,36.26,19.28,,10.91,8.2,,-5.59,False,True,True,YF,
61,False,2016-01-08,2015-12-24,CNCG,Concierge Technologies Inc,Neibert David Wayne,CFO,P - Purchase,1.05,100018.0,1047577.0,11.0,3500.0,0.63,1.32,0.84,1.05,1.05,0.6,1.05,1.32,1.41,1.2,1.2,1.5,1.74,1.95,-40.0,25.71,-20.0,0.0,0.0,-42.86,0.0,25.71,34.29,14.29,14.29,42.86,65.71,85.71,False,True,True,YF,
66,False,2016-01-07,2016-01-07,RICK,"Rci Hospitality Holdings, Inc.",Marshall Phillip Kent,CFO,P - Purchase,9.267,780.0,13560.0,6.0,7504.0,8.19,8.02,8.87,8.68,9.68,10.67,10.14,9.88,10.58,,11.64,11.27,,27.33,-11.62,-13.46,-4.28,-6.33,4.46,15.14,9.42,6.61,14.17,,25.61,21.61,,194.92,True,True,True,YF,NASDAQ
67,False,2016-01-07,2016-01-06,FDBC,Fidelity D & D Bancorp Inc,Defrancesco Salvatore R Jr,"CFO, Treasurer",P - Purchase,19.122,582.0,11118.0,6.0,17501.0,19.98,18.58,17.85,18.42,18.53,,19.28,18.48,19.94,19.35,20.23,19.88,20.19,33.4,4.49,-2.83,-6.65,-3.67,-3.1,,0.83,-3.36,4.28,1.19,5.79,3.96,5.59,74.67,True,True,True,YF,NASDAQ
65,True,2016-01-07,2016-01-04,DTOR,Del Toro Silver Corp.,Fagen Patrick,CFO,P - Purchase,0.0,675000.0,8032727.0,9.0,4108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
